動的命令数 2789457291
lui	 0.000
add	 8.985
addi	 7.687
sub	 0.003
sll	 0.000
slli	 0.013
srl	 0.000
srli	 0.002
sra	 0.000
srai	 0.000
j	 1.966
jal	 0.315
jr	 2.727
jalr	 1.329
beq	 3.302
ble	 0.080
beqi	 6.255
bnei	 0.000
blei	 0.025
bgei	 0.000
lw	30.646
sw	12.055
flw	 9.971
fsw	 1.277
out	 0.006
in	 0.000
fadd	 2.646
fsub	 1.987
fmul	 4.259
fdiv	 0.055
fsqrt	 0.080
feq	 0.414
flt	 0.000
fle	 2.753
ftoi	 0.009
itof	 0.008
flup	 0.484
fneg	 0.664
fmvfr	 0.000
fmvtr	 0.000
